,DEPOSIT_AMOUNT,DEPOSIT_TXS,SENDER,WITHDRAWN_AMOUNT,WITHDRAW_TXS
87,51.0,1,terra1yge3cklalzexc9zaszwxfwzauypdjecpe57g77,0.0,0
88,200.0,1,terra1pf8e72u3l6lmcnem6y7n29hze8nhkcsxhptjr9,0.0,0
89,3400.0,1,terra192mqg3shp9vj24pcc8sqnwqfw7xdc6etsyrlqp,0.0,0
90,8.0,1,terra1hx6ea4yxz7lhex5xv329475zlrzxvx57qmjylm,8.0,1
91,50.0,1,terra13d6c4trujxk5rtf83x0w25gr5gypzehnvg37kd,0.0,0
92,550.0,1,terra1dkdlhq4age0qpl5xcmdxmgnsddwd6wv77h3s47,0.0,0
93,200.0,1,terra1g7n9aa8fdn6z32szcfvc32r73p4xaxpm6xt2k5,0.0,0
94,10000.0,2,terra15apafc7u9gaqfvyp2tk380dxn026s6puqxc03l,0.0,0
95,2500.0,1,terra13uuea8tv6hdxc3l3s8t4f8mywgg02lljgz3u2q,0.0,0
96,251.919508,3,terra16n7q20dgn5n5uw02vm5w3vl08hs45qa6zpj65j,0.0,0
97,4242.0,1,terra1vtmd7vqztlvfcxg5dpsupxsstlealmdnqwst6x,0.0,0
98,4000.0,1,terra1qgvnp8knehmlxlta72u7pdcfw4ua92pc6cjrsh,0.0,0
99,5.0,2,terra18marp06zz3rak243przr2f7wgkxf490yysxgnp,0.0,0
100,40.0199,1,terra16gjn7pcdppnjx9rrxn0250dcwrsp3ynqcau99a,0.0,0
101,100.0,1,terra1069gcagp9xyfgfrgqd78f5wa5f2mvvef8zz3uh,100.0,1
102,500.0,1,terra1z42an2228hr9cxrr0jlgvq73us3d3m7nmm8rs7,0.0,0
103,100.0,1,terra105366vajqnfpx0e9a8573ehus9daw7yr7kn5qq,100.0,1
104,1500.0,1,terra1t4qagk0vukvwttjm3myzdqav8yr2gx6d7jssra,1500.0,1
105,1000.0,1,terra1hc8hhec4x94kdl0hue4u0t298n0f7kmdmewmx3,0.0,0
106,160.0,1,terra1kr06zhs87p2vat9h4ay2lk8sk5dc8fxlsnvs9h,0.0,0
107,5000.0,1,terra16nkf8dl2pt6hcnpjpdul9s6n0g3jxaxgkq9xak,0.0,0
108,250.0,2,terra1xp3janflu97v65vxfpy003qvta5f6eghe8afnm,100.0,1
109,1200.0,1,terra1aypqzz3hnlhsm4n459wdzwz087w627j2xjks7c,0.0,0
110,250.0,1,terra1l7r5lyj3e29f05athpxxdu69a3daka7u9wwtf8,0.0,0
111,500.0,1,terra1chgajhx5c66mzl7nd55cj6h0344qm3jg0ttnz8,0.0,0
112,1567.544153,2,terra1fxu6sa9mrswt5cssx38esclx05ee5r55xlcdae,1567.544153,1
113,100.0,1,terra1rpmnhs9lpqxnp78r7kfccw38q2tj5x9c3u9rds,0.0,0
114,153.541935,1,terra1raue4mtaaj24m8xtv29szcnxkw22zfvfex3xq9,0.0,0
115,739.401229,1,terra1ye4uuag93pkm2cy28vqw28prvlx7pd7j7dl7ud,0.0,0
116,220.0,1,terra10r5u388ag8a0ewkshkxhzazjtvm39swt0553kt,0.0,0
117,1.107618,1,terra16chd8scsam3hw3ksetf0yul4qu47tf825k9fr9,0.0,0
118,1116.896141,1,terra16jpuqvddjm8dezapp0cz2scatct489l9upuqdz,0.0,0
119,20000.0,1,terra1hu2dwhppkwumhy6g5lrhhm7agmphyfqp4s2nyy,0.0,0
120,3078.261057,2,terra1wuupaf5qcvddax8xpkf0pskn0p36ht0z4xekxh,70.0,1
121,480.0,2,terra1al5gy0yq4ngzpqxyc5z7j45c0rud0mmk9uuv96,0.0,0
122,1550.0,3,terra1ghmnv5f0367n5mzeq374v4ldemxym5dh2dlkru,0.0,0
123,41.186104,1,terra1aw0suepywrtklvk8lq7lg6lzx0lq92vzf9skcv,0.0,0
124,100.0,1,terra1tt2zut064as0lentuhs5ccv940x98f08hucph8,0.0,0
125,90.0,1,terra1hjqaz2078qzjwj7tt3j6x2eqfxrwz3wder3eqx,0.0,0
126,499.537104,2,terra1jpswsq4mdpweg4rkvjmgdhp54dpzq09tch9juv,0.0,0
127,50000.0,1,terra12675ej3grek84zvg5kw363f7tvu3h8m3ymdasu,0.0,0
128,2237.006251,2,terra1gfv54wnepnqvqukgl3pt85r6jkqvv2sjaangxn,0.0,0
129,8200.0,1,terra1gqw2egvq0wmdvgqsutkh2385a6pd4wfpen392u,0.0,0
130,1473.0,1,terra17j2hnf6edxgck56hg7xvvcz454f6954y6y0ke6,0.0,0
131,850.0,1,terra1sq356ue8yhnwzutv3zky4fepaf548jpresckfq,0.0,0
132,22.0,1,terra1mp90m9rzez508pnfh4a7elt2atrs79a9lu2zv0,0.0,0
133,10.0,1,terra1n7gntmulkv3ejwxscwdmjjdfj0q4yswjltj2j9,0.0,0
134,470.0,1,terra18ee2zm54xx04p5k8jsusr69rl76shcxtefx93t,0.0,0
135,90.0,2,terra1yzyv7p7leuztdncfpx3py0s8tg3qfykxxrhyvm,45.0,1
136,18755.0,2,terra163nkfcy4q3dt9xy8de4593yuqd3jn8uth2epdm,18755.0,1
137,3110.0,1,terra1tv59y38dmd8k8upptqppfc52mdpzty95qfhcu5,0.0,0
138,10.0,1,terra1qf236fx4etenw8yvlx8ym889q0dy5kkk2xjr6h,0.0,0
139,1525.0,1,terra1a9rkw0q3q7j5y0d2lrm4c94mde37ytrvd0yw6x,0.0,0
140,5000.0,1,terra1pdck33xx2vmx7shz486az5hj2yteuz08fmwuhy,0.0,0
141,50.0,1,terra192xzxk0775qxu9w4y8tqladgx3grxjnep9kae4,0.0,0
142,500.0,1,terra1d4lmf5qdpaencmhuaxnrs8x7wwml3znzr99d6y,0.0,0
143,150.0,1,terra1d2vj7hgcxyv404dsk439agz6naz0z9exnt57p9,0.0,0
144,250.0,1,terra1gwekcdkcxawgdw8n8kzys9y58pl6ylwf7uf8rx,0.0,0
145,172.901868,1,terra12cc2wwqt2058xyt4e7j6fac60xzqz283j58ynv,0.0,0
146,100.0,1,terra1ncqgm6uvy4v479qf0u9ny5nfj2t9ha56g78k94,0.0,0
147,2500.0,1,terra18hymawh5p04ml8ad9nzhu66qjj6s38p0deltv9,0.0,0
148,10.0,1,terra1f59tr6jdcz46ucnmnyy6t4anx2q05azxrp539t,0.0,0
149,250.0,1,terra14nhaywfgj55lr70amuvmupx8sl9a3vmcddkr4s,0.0,0
150,6000.0,1,terra1srlamhxnnxpu4ldc0t040kp3dts9zng600w8zn,0.0,0
151,900.0,1,terra1er2nsdte5cv24nqurdcjepq6y0ck6rszhckewk,0.0,0
152,100.0,1,terra1jzs9908qrfju5ms5yvnj8kxfnr3sy809lz7rx0,0.0,0
153,1200.0,2,terra1r6lrmd4au3r95vzvpc5ka2mgjwax57zx2jqsw5,0.0,0
154,50.0,1,terra1q5jxndx238k7wu3z6ksnrtrhdage4zuz78h72c,0.0,0
155,200.0,1,terra1yp2ccvz84pyrqpaujmdq7p85mxfgtgc2h6m5c0,0.0,0
156,2000.0,1,terra13fj43dy8qz6t5rf20km9rresp9xrw7sls3nfzz,1500.0,1
157,500.0,1,terra1q34eagkt6t2vr970u4wypkkllnnak3fegjmppn,0.0,0
158,500.0,2,terra195gskmyuf34uufdycqlrh8wfkt4s4yw8pea8fq,0.0,0
159,300.0,1,terra1l8ap4vgfw2kcg6q6a50d03k8xz5kcyswu79kdl,0.0,0
160,1230.0,1,terra1zhdf559pksgxfvypm5nvef3h0wkh0petkcp0z7,1230.0,1
161,5000.0,1,terra1vtqmqst4dnkyt6ajfpzlyd48jsel9cvy2myq6j,0.0,0
162,20.0,1,terra1qvpv8fre32z5lxe8wumjnevac39hvy3hxvc7jz,0.0,0
163,1211.12,1,terra10nstsqynp4nlee79a3ppkme8ghgucwr6gp9fkt,0.0,0
164,72240.0,2,terra10g5xqv0zjxd6cmpff26m2pk8eeqrcz38k4m3da,0.0,0
165,105.0,1,terra1m26rt8mrcd6r9cvkpe0c6d4hp0x70g9x47jfzn,0.0,0
166,60000.0,1,terra1ysfy3ws89c3zfspwpeuzxwv2nuhhm89yzup6hl,0.0,0
167,414.49069,2,terra1hdh6usww5ps2jrxr2a5hck7q9323zqm6e4acg5,0.0,0
168,100.0,1,terra192jgunvx9hp0kcu3k0m7cs7rypflww4wrmuhmz,0.0,0
169,1300.0,1,terra1xzyt8409yz89zyh6kmwf0y857cs937hdr56exk,0.0,0
170,6.447981,1,terra15tzggzgtpleunelrsk2jxg7p62qw9amej65w3r,0.0,0
171,80.037085,1,terra14psaajcd3349cv8c4rmej0p8r5xmy5akxycutu,0.0,0
